============================================================
Token数量分布（每1000为一档）：
============================================================
          0-999 tokens:  1684 cases
      1000-1999 tokens:  2079 cases
      2000-2999 tokens:  1402 cases
      3000-3999 tokens:   686 cases
      4000-4999 tokens:   360 cases
      5000-5999 tokens:   168 cases
      6000-6999 tokens:    90 cases
      7000-7999 tokens:    52 cases
      8000-8999 tokens:    31 cases
      9000-9999 tokens:    25 cases
    10000-10999 tokens:    25 cases
    11000-11999 tokens:     6 cases
    12000-12999 tokens:     6 cases
    13000-13999 tokens:     4 cases
    14000-14999 tokens:     1 cases
    15000-15999 tokens:     1 cases
    16000-16999 tokens:     3 cases
    17000-17999 tokens:     2 cases
    18000-18999 tokens:     2 cases
    19000-19999 tokens:     2 cases
    20000-20999 tokens:     2 cases
    21000-21999 tokens:     2 cases
    24000-24999 tokens:     1 cases
    26000-26999 tokens:     2 cases
    31000-31999 tokens:     2 cases
    39000-39999 tokens:     1 cases
    43000-43999 tokens:     1 cases
    65000-65999 tokens:     1 cases
  157000-157999 tokens:     1 cases

============================================================
总case数量: 6642
    24000-24999 tokens:     1 cases
    26000-26999 tokens:     2 cases
    31000-31999 tokens:     2 cases
    39000-39999 tokens:     1 cases
    43000-43999 tokens:     1 cases
    65000-65999 tokens:     1 cases
  157000-157999 tokens:     1 cases

    24000-24999 tokens:     1 cases
    26000-26999 tokens:     2 cases
    31000-31999 tokens:     2 cases
    39000-39999 tokens:     1 cases
    43000-43999 tokens:     1 cases
    65000-65999 tokens:     1 cases
  157000-157999 tokens:     1 cases
    24000-24999 tokens:     1 cases
    26000-26999 tokens:     2 cases
    31000-31999 tokens:     2 cases
    39000-39999 tokens:     1 cases
    24000-24999 tokens:     1 cases
    26000-26999 tokens:     2 cases
    31000-31999 tokens:     2 cases
    39000-39999 tokens:     1 cases
    24000-24999 tokens:     1 cases
    26000-26999 tokens:     2 cases
    31000-31999 tokens:     2 cases
    39000-39999 tokens:     1 cases
    43000-43999 tokens:     1 cases
    24000-24999 tokens:     1 cases
    26000-26999 tokens:     2 cases
    31000-31999 tokens:     2 cases
    39000-39999 tokens:     1 cases
    24000-24999 tokens:     1 cases
    26000-26999 tokens:     2 cases
    31000-31999 tokens:     2 cases
    39000-39999 tokens:     1 cases
    43000-43999 tokens:     1 cases
    65000-65999 tokens:     1 cases
  157000-157999 tokens:     1 cases
    31000-31999 tokens:     2 cases
    39000-39999 tokens:     1 cases
    43000-43999 tokens:     1 cases
    65000-65999 tokens:     1 cases
  157000-157999 tokens:     1 cases
    43000-43999 tokens:     1 cases
    65000-65999 tokens:     1 cases
  157000-157999 tokens:     1 cases

    65000-65999 tokens:     1 cases
  157000-157999 tokens:     1 cases
