Target: Find the value of variable final_threat_score after [line 50] executes

[line 30]  entry_hashes = list(map(compute_log_hash, log_entries))
Call function list(map(compute_log_hash, log_entries))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
Return: sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
[line 5]  return sum(ord(char) << (i % 8) for i, char in enumerate(log_entry))
